,highly_variable
AL606519.1,False
AL136234.1,False
LINC01781,True
AC093154.1,False
ADGRL2,False
AL138799.2,False
AL138799.4,False
AC117944.1,False
AL157944.1,False
LINC01362,False
LINC01361,False
AC116099.1,False
LINC01712,False
LINC01725,True
AL035706.1,False
TTLL7,False
TTLL7-IT1,False
AC104454.2,False
AL359504.2,False
PRKACB,False
SAMD13,False
DNASE2B,False
AL844170.1,False
RPF1,False
GNG5,False
SPATA1,False
CTBS,False
AL359762.1,False
AL359762.2,False
LINC01555,False
SSX2IP,False
AC104169.1,False
LPAR3,False
MCOLN2,False
WDR63,True
MCOLN3,False
SYDE2,False
C1orf52,False
BCL10,False
AL078459.1,True
DDAH1,False
AL360219.1,False
AC092807.3,False
AC092807.2,False
CCN1,False
AC092807.1,False
ZNHIT6,False
COL24A1,True
LINC02795,False
ODF2L,False
CLCA2,False
CLCA1,False
CLCA4,False
CLCA4-AS1,False
AL049597.2,True
SH3GLB1,False
AL355981.1,False
SELENOF,False
HS2ST1,True
AL121989.1,False
LINC01140,False
LINC02801,False
LMO4,False
LINC01364,False
PKN2-AS1,False
AL445438.1,False
PKN2,False
GTF2B,False
KYAT3,False
RBMXL1,False
GBP3,False
GBP1,True
GBP2,False
AC104459.1,True
GBP7,False
GBP4,False
AC099063.4,False
GBP5,False
AC099063.1,False
GBP6,False
AL596214.1,False
LRRC8B,False
LRRC8C-DT,False
AC093423.2,False
LRRC8C,False
AC099568.1,True
AC099568.2,False
LRRC8D,False
AL391497.1,False
ZNF326,False
AL161797.1,False
AC098656.1,False
AL627316.1,False
LINC02787,False
BARHL2,False
AC092805.1,False
LINC02609,False
LINC02788,False
LINC01763,False
AC091614.1,False
ZNF644,False
HFM1,False
CDC7,False
TGFBR3,True
BRDT,False
EPHX4,False
SETSIP,True
BTBD8,False
AC104836.1,False
C1orf146,True
GLMN,False
RPAP2,False
GFI1,False
EVI5,False
RPL5,False
DIPK1A,False
AC093577.1,False
MTF2,False
TMED5,False
CCDC18,False
CCDC18-AS1,False
DR1,False
FNBP1L,False
BCAR3,False
AL109613.1,False
AL049796.1,False
DNTTIP2,False
GCLM,False
ABCA4,False
AC093579.1,False
ARHGAP29,False
ARHGAP29-AS1,False
AC097059.1,False
AC118469.2,False
ABCD3,False
F3,False
AC093117.1,False
SLC44A3,False
CNN3,False
AC105942.1,False
ALG14,False
AC095033.1,False
TLCD4,False
AC092802.3,False
AC092802.1,False
RWDD3,False
AC092802.2,False
AC092802.4,False
LINC01760,False
LINC01650,False
AL445218.1,False
LINC01761,False
LINC02607,False
AL683887.1,False
LINC02790,False
LINC01787,False
PTBP2,False
DPYD,True
DPYD-AS1,False
DPYD-IT1,False
DPYD-AS2,False
MIR137HG,False
BX005019.1,False
AC104453.1,False
LINC01776,False
SNX7,False
PLPPR5,False
AL445433.2,False
PLPPR4,False
LINC01708,False
PALMD,False
FRRS1,False
AGL,False
AC118553.1,False
SLC35A3,False
MFSD14A,False
AC093019.2,False
SASS6,False
TRMT13,False
LRRC39,False
DBT,False
AL445928.2,False
RTCA-AS1,False
RTCA,False
AC104457.2,False
CDC14A,False
AL589990.1,False
GPR88,False
LINC01349,False
AC099670.3,False
VCAM1,True
EXTL2,False
AC104506.1,False
SLC30A7,False
DPH5,False
AC093157.2,False
AC093157.1,False
AL109741.1,False
S1PR1,False
LINC01307,False
LINC01709,False
OLFM3,False
AC114485.1,False
AC099567.1,False
COL11A1,False
AC095032.2,False
AC095032.1,False
RNPC3,False
AMY2B,False
AMY2A,False
AMY1A,False
AMY1B,False
AMY1C,False
AL591888.1,False
LINC01676,False
LINC01677,False
AL355306.2,False
LINC01661,False
PRMT6,False
NTNG1,True
VAV3,False
VAV3-AS1,True
LINC02785,False
SLC25A24,False
AL359258.2,False
NBPF4,False
AL359258.1,False
AL390038.1,False
NBPF6,False
FAM102B,False
HENMT1,False
AL160171.1,False
PRPF38B,False
FNDC7,False
AL591719.2,False
STXBP3,False
AKNAD1,False
SPATA42,False
GPSM2,False
CLCC1,False
WDR47,False
TAF13,False
AL356488.3,False
TMEM167B,False
AL356488.2,False
C1orf194,False
KIAA1324,False
SARS,False
CELSR2,False
PSRC1,False
MYBPHL,False
SORT1,False
PSMA5,False
SYPL2,False
ATXN7L2,False
CYB561D1,False
AMIGO1,False
GPR61,False
AL355310.3,False
GNAI3,False
AL355310.1,False
GNAT2,False
AMPD2,False
AL355310.2,False
GSTM4,False
GSTM2,False
GSTM1,False
AC000032.1,False
GSTM5,False
AL158847.1,False
GSTM3,False
EPS8L3,False
LINC01768,False
AL450468.1,False
AL450468.2,False
CSF1,False
AHCYL1,False
STRIP1,False
AL160006.1,False
ALX3,False
